Stazione;Ubicazione;Linee;Note;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
Milano Lancetti;Sotterranea;S1 S2 S5 S6 S13;Dati indicativi non ufficiali.;9;78;FARINI;9.177123221;45.49374109;(45.4937410910517, 9.17712322085963)
Milano Centrale;Superficie;Interregionali;Dati indicativi non ufficiali.;2;10;STAZIONE CENTRALE - PONTE SEVESO;9.204196758;45.48616124;(45.486161235226, 9.20419675790644)
Milano Porta Garibaldi Sup.;Superficie;S11;Dati indicativi non ufficiali.;9;9;PORTA GARIBALDI - PORTA NUOVA;9.186750678;45.48559339;(45.485593393828, 9.1867506782341)
Milano Lambrate;Superficie;S9;Dati indicativi non ufficiali.;3;22;CITTA' STUDI;9.236898182;45.48487233;(45.4848723299094, 9.23689818170729)
Milano Porta Garibaldi Sott.;Sotterranea;S1 S2 S5 S6 S13;Dati indicativi non ufficiali.;9;9;PORTA GARIBALDI - PORTA NUOVA;9.186162292;45.48433442;(45.4843344249528, 9.18616229197573)
Milano Repubblica;Sotterranea;S1 S2 S5 S6 S13;Dati indicativi non ufficiali.;2;10;STAZIONE CENTRALE - PONTE SEVESO;9.198682425;45.48043616;(45.4804361647545, 9.19868242499003)
Milano Porta Venezia;Sotterranea;S1 S2 S5 S6 S13;Dati indicativi non ufficiali.;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.208823928;45.47579032;(45.4757903172868, 9.20882392812955)
Milano Cadorna;Superficie;S3 S4;Dati indicativi non ufficiali.;1;7;MAGENTA - S. VITTORE;9.175635334;45.46817761;(45.4681776130004, 9.17563533371968)
Milano Porta Vittoria;Sotterranea;S1 S2 S5 S6 S13;Dati indicativi non ufficiali.;4;28;UMBRIA - MOLISE - CALVAIRATE;9.22360964;45.45961972;(45.4596197232533, 9.22360963993889)
Milano Porta Genova;Superficie;Interregionali;Dati indicativi non ufficiali.;6;50;PORTA GENOVA;9.169245292;45.45317029;(45.4531702945483, 9.16924529212752)
Milano Porta Romana;Superficie;S9;Dati indicativi non ufficiali.;5;36;SCALO ROMANA;9.209105883;45.44560526;(45.4456052626033, 9.2091058832835)
Milano San Cristoforo;Superficie;S9;Dati indicativi non ufficiali.;6;49;GIAMBELLINO;9.130273937;45.4423791;(45.4423790951393, 9.13027393739621)
Milano Rogoredo;Superficie;S1 S2 S13;Dati indicativi non ufficiali.;4;35;LODI - CORVETTO;9.23896249;45.43365851;(45.4336585091805, 9.23896248984017)
Milano Bruzzano Parco Nord;Superficie;S2 S4;Dati indicativi non ufficiali.;9;83;BRUZZANO;9.172811642;45.53359529;(45.5335952897409, 9.17281164241078)
Milano Quarto Oggiaro;Superficie;S1 S3;Dati indicativi non ufficiali.;8;76;QUARTO OGGIARO - VIALBA - MUSOCCO;9.145494396;45.51895521;(45.5189552099705, 9.1454943963032)
Milano Greco Pirelli;Superficie;S9 S11;Dati indicativi non ufficiali.;2;16;GORLA - PRECOTTO;9.214695534;45.51278334;(45.5127833377175, 9.21469553385638)
Milano Certosa;Superficie;S5 S6 S11;Dati indicativi non ufficiali.;8;76;QUARTO OGGIARO - VIALBA - MUSOCCO;9.133571371;45.50713345;(45.5071334501011, 9.13357137148603)
Milano Bovisa;Superficie;S1 S2 S3 S4 S13;Dati indicativi non ufficiali.;9;77;BOVISA;9.159051232;45.50269756;(45.5026975624513, 9.15905123169957)
Milano Villapizzone;Superficie;S5 S6 S11;Dati indicativi non ufficiali.;9;77;BOVISA;9.15090831;45.5021002;(45.5021001975202, 9.1509083102935)
Milano Dateo;Sotterranea;S1 S2 S5 S6 S13;Dati indicativi non ufficiali.;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.216684133;45.46797948;(45.4679794780654, 9.2166841331161)
Milano Romolo;Superficie;S9;Dati indicativi non ufficiali.;6;44;PORTA TICINESE - CONCHETTA;9.167786073;45.44325692;(45.4432569222744, 9.16778607252269)
Milano  Affori;Superficie;S2 S4;Dati indicativi non ufficiali.;9;80;AFFORI;9.16746361;45.52124075;(45.5212407453538, 9.16746360961369)
Milano Domodossola;Sotterranea;S3 S4;Dati indicativi non ufficiali.;8;67;PORTELLO;9.161725401;45.48126824;(45.4812682361026, 9.16172540146053)
Milano Forlanini;Superficie;S5 S6 S9;Dati indicativi non ufficiali.;4;25;CORSICA;9.236734608;45.46446575;(45.4644657452816, 9.23673460813619)
